Project Number,Project Title,Location,MIS Program,Capability Sponsor,CBPL Score,Rank Score,Cost,Must Fund FY21,Must Fund FY22,Must Fund FY23,Must Fund FY24,Must Fund FY25,NET FY21,NET FY22,NET FY23,NET FY24,NET FY25,Business Rule,Previous Program,PDS,PDS_DOL,PND1,PND1_DOL,PND2,PND2_DOL,CEQOM,CEQOM_DOL,CEQPROC,CEQPROC_DOL,C4IOM,C4IOM_DOL,C4IPROC,C4IPROC_DOL
93283,SOF Readiness Facility,"FT CAMPBELL, KY",160SOR,USASOC,52.09901668,64.75409836,17000,0,0,0,0,0,0,0,1,1,1,0,24,-3,250,-2,1020,-1,680,2,1360,1,1680,2,255,1,595
93284,SOF Hangar ,"FT CAMPBELL, KY",160SOT,USASOC,8.523839147,52.86885246,62000,0,0,0,0,0,0,0,0,1,1,0,0,-3,375,-2,3720,-1,2480,2,3100,1,1860,2,930,1,2170
93285,SOF Advanced Techniques Facility ,"Joint Base Lewis McChord, WA",SWCS,USASOC,9.862320627,24.59016393,15500,0,0,0,0,0,0,0,0,0,0,0,0,-3,250,-2,930,-1,620,2,1240,1,1240,2,232.5,1,542.5
93286,SOF Hangar and Aviation COF ,"HUNTER AAF, GA",160SOR,USASOC,52.09901668,50.81967213,43000,0,0,0,0,0,0,0,0,1,1,0,0,-3,375,-2,2580,-1,1720,2,2150,1,1290,2,645,1,1505
93287,SOF Readiness Facility,"HUNTER AAF, GA",160SOR,USASOC,52.09901668,47.54098361,11800,0,0,0,0,0,0,0,0,1,1,0,0,-3,125,-2,708,-1,472,2,944,1,944,2,177,1,413
93288,SOF Readiness Facility,"Joint Base Lewis McChord, WA",160SOR,USASOC,52.09901668,32.78688525,12500,0,0,0,0,0,0,0,0,0,0,0,0,-3,125,-2,750,-1,500,2,1000,1,1000,2,187.5,1,437.5
93289,SOF Hangar and Aviation Company Operations Facility,"FT CAMPBELL, KY",160SOR,USASOC,52.09901668,33.60655738,62000,0,0,0,0,0,0,0,0,0,0,0,0,-3,375,-2,3720,-1,2480,2,3100,1,1860,2,930,1,2170
93290,SOF Hangar and Aviation COF,"HUNTER AAF, GA",160SOR,USASOC,52.09901668,48.36065574,63000,0,0,0,0,0,0,0,0,1,1,0,0,-3,375,-2,3780,-1,2520,2,3150,1,1890,2,945,1,2205
93291,SOF Regiment HQ Support Annex,"FT BENNING, GA",75RGR,USASOC,85.52560896,45.90163934,42000,0,0,0,0,0,0,0,0,1,1,0,0,-3,375,-2,2520,-1,1680,2,2940,1,420,2,630,1,1470
93317,SOF Operations Facility,"Riga, Latvia",SOCEUR,SOCEUR,42.37717471,14.3442623,11350,0,0,0,1,0,0,1,1,1,1,0,0,-3,125,-2,681,-1,454,2,,1,,2,,1,
93318,SOF Training Facility,"Riga, Latvia",SOCEUR,SOCEUR,42.37717471,54.50819672,14700,0,1,0,0,0,0,1,1,1,1,0,0,-3,125,-2,882,-1,588,2,,1,,2,,1,
93319,SOF Operations Facility,"Kaunas, Lithuania",SOCEUR,SOCEUR,42.37717471,0.409836066,12600,0,0,0,0,1,0,1,1,1,1,0,0,-3,125,-2,756,-1,504,2,,1,,2,,1,
93320,SOF Training Facility,"Kaunas, Lithuania",SOCEUR,SOCEUR,42.37717471,28.68852459,4600,0,0,1,0,0,0,1,1,1,1,0,0,-3,125,-2,276,-1,184,2,,1,,2,,1,
94023,SOF Operational Ammunition Supply Point,"FT BRAGG, NC",CDA-A1,JSOC,94.28138942,66.80327869,66000,0,0,0,0,0,0,0,1,1,1,0,0,-3,375,-2,3960,-1,2640,2,4000,1,3100,2,2000,1,4000
94051,SOF HPTC Facility,"FT BRAGG, NC",CDA-F3,JSOC,88.17663426,45.08196721,10000,0,0,0,0,0,0,0,1,1,1,0,0,-3,125,-2,600,-1,400,2,1300,1,,2,48,1,6600
1055863,SOF AMU/Hangar (AC-130J),"HURLBURT FIELD, FL",1SOW,AFSOC,60.25237122,79.09836066,44300,0,0,0,0,0,0,0,1,1,1,0,0,-3,375,-2,2658,-1,1772,2,1870,1,,2,368,1,
1055876,SOF Hangar/AMU (MC-130J),"HURLBURT FIELD, FL",1SOW,AFSOC,60.25237122,65.16393443,60600,0,0,0,0,0,0,0,1,1,1,0,0,-3,375,-2,3636,-1,2424,2,1870,1,,2,368,1,
1073614,SOF Simulator Facility (AC-130J),"HURLBURT FIELD, FL",SOAWC,AFSOC,9.210101675,67.21311475,13000,0,0,0,0,0,0,0,1,1,1,0,0,-3,125,-2,780,-1,520,2,400,1,400,2,150,1,
AFSOC180001,SOF Operations and Maintenance Facilities,"DUKE FIELD, FL EGLIN AFB, FL AUX FIELD (DUKE)",SOAWC,AFSOC,9.210101675,87.29508197,23600,0,1,0,0,0,0,1,1,1,1,0,22,-3,250,-2,1416,-1,944,2,2800,1,300,2,1272,1,942
ASA12 ,Assessment and Selection Complex Alpha ,WORLDWIDE UNSPECIFIED,CDA-O,USASOC,82.74577202,15.98360656,41200,0,0,0,0,0,0,0,0,0,0,0,0,-3,375,-2,2472,-1,1648,2,2884,1,412,2,618,1,1442
ASA13,Assessment and Selection Complex Bravo ,WORLDWIDE UNSPECIFIED,CDA-O,USASOC,82.74577202,10.24590164,41700,0,0,0,0,0,0,0,0,0,0,0,0,-3,375,-2,2502,-1,1668,2,2919,1,417,2,625.5,1,1459.5
ASA14,Assessment and Selection Complex Charlie ,WORLDWIDE UNSPECIFIED,CDA-O,USASOC,82.74577202,12.29508197,41700,0,0,0,0,0,0,0,0,0,0,0,0,-3,375,-2,2502,-1,1668,2,2919,1,417,2,625.5,1,1459.5
ASA1501,SOF Battalion Operations Facility,"HUMPHRIES ENGINEER CENTER & SUPPORT ACT, VA",CDA-O,USASOC,82.74577202,15.16393443,41200,0,0,0,0,0,0,0,0,0,0,0,0,-3,375,-2,2472,-1,1648,2,2884,1,412,2,618,1,4532
ASA1701,Skills Enhancement and Support Building,"HUMPHRIES ENGINEER CENTER & SUPPORT ACT, VA",CDA-O,USASOC,82.74577202,17.21311475,36000,0,0,0,0,0,0,0,0,0,0,0,0,-3,375,-2,2160,-1,1440,2,2880,1,360,2,540,1,1260
ASO03,SOF Parking Deck,"FT BRAGG, NC",USASOC,USASOC,40.22909876,4.508196721,10400,0,0,0,0,0,0,0,0,0,0,0,0,-3,125,-2,624,-1,416,2,832,1,0,2,156,1,364
CZQZ073019,SOF Mobility Aerial Delivery Facility,"CANNON AFB, NM",27SOW,AFSOC,61.68258988,57.78688525,16800,0,0,0,0,0,0,0,0,0,0,0,0,-3,250,-2,1008,-1,672,2,725,1,,2,350,1,
CZQZ093010,SOF Add Alter Simulator Facility (Manned ISR),"CANNON AFB, NM",SOAWC,AFSOC,9.210101675,61.06557377,8800,0,0,0,0,0,0,0,0,0,0,0,27,-3,125,-2,528,-1,352,2,400,1,400,2,150,1,
CZQZ183001,SOF Hangar/AMU (CV-22),"CANNON AFB, NM",27SOW,AFSOC,61.68258988,77.45901639,55000,0,0,0,0,0,0,0,1,1,1,0,0,-3,375,-2,3300,-1,2200,2,2000,1,,2,368,1,
FTEV073023,SOF Vehicle Shelter,"HURLBURT FIELD, FL",1SOW,AFSOC,60.25237122,69.26229508,10400,0,0,0,0,0,0,0,0,1,1,0,24,-3,125,-2,624,-1,416,2,,1,,2,,1,
FTEV103005,SOF Special Tactics Operations Facility (23 STS),"HURLBURT FIELD, FL",24SOW,AFSOC,81.63461715,93.85245902,44810,0,0,0,0,0,1,1,1,1,1,0,21,-3,375,-2,2688.6,-1,1792.4,2,2600,1,400,2,900,1,
FTEV123003,SOF Small Arms Range,"HURLBURT FIELD, FL",1SOW,AFSOC,60.25237122,81.55737705,30400,0,0,0,0,0,0,1,1,1,1,0,22,-3,375,-2,1824,-1,1216,2,1500,1,,2,50,1,
FTEV123008,SOF Human Performance Training Center,"HURLBURT FIELD, FL",24SOW,AFSOC,81.63461715,91.39344262,8915,0,0,0,0,0,1,1,1,1,1,0,22,-3,125,-2,534.9,-1,356.6,2,757,1,,2,42,1,
FTEV153011,SOF Combat Aircraft Parking Apron-North,"HURLBURT FIELD, FL",1SOW,AFSOC,60.25237122,97.54098361,38310,0,0,0,0,0,1,1,1,1,1,0,21,-3,375,-2,2298.6,-1,1532.4,2,0,1,,2,72,1,
