Project Number,Project Title,Location,MIS Program,Capability Sponsor,CBPL Score,Rank Score,Cost,Must Fund FY21,Must Fund FY22,Must Fund FY23,Must Fund FY24,Must Fund FY25,NET FY21,NET FY22,NET FY23,NET FY24,NET FY25,Desired FY,Stability,PDS,PDS_DOL,PND1,PND1_DOL,PND2,PND2_DOL,CEQOM,CEQOM_DOL,CEQPROC,CEQPROC_DOL,C4IOM,C4IOM_DOL,C4IPROC,C4IPROC_DOL
81901,SOF RSTA Operations Facility,"FT BENNING, GA",75RGR,USASOC,85.52560896,59.42622951,4150,0,0,0,0,0,0,0,1,1,1,1,24,-3,125,-2,249,-1,166,2,332,1,332,2,62.25,1,145.25
81906,SOF Military Free Fall Advanced Training Complex,"YUMA, AZ",SWCS,USASOC,9.862320627,88.93442623,44800,0,0,0,0,0,1,1,1,1,1,1,21,-3,375,-2,2688,-1,1792,2,3080,1,440,2,660,1,1540
81907,SOF Consolidated Rigging Facility,"JOINT BASE LEWIS-MCCHORD, WA",1SFG,USASOC,100,93.03278689,58000,0,0,0,0,0,1,1,1,1,1,1,21,-3,375,-2,3480,-1,2320,2,1520,1,3800,2,570,1,1330
81910,SOF Battalion HQ/CO Operations Addition,"Joint Base Lewis McChord, WA",1SFG,USASOC,100,49.59016393,38000,0,0,0,0,0,0,0,0,1,1,1,0,-3,375,-2,2280,-1,1520,2,3040,1,3040,2,570,1,1330
85959,SOF Ready Building,"YUMA, AZ",SWCS,USASOC,9.862320627,89.75409836,19051,1,0,0,0,0,1,1,1,1,1,1,21,-3,250,-2,1143.06,-1,762.04,2,1120,1,140,2,210,1,490
86022,SOF Hangar,"YUMA, AZ",160SOR,USASOC,52.09901668,90.98360656,48732,1,0,0,0,0,1,1,1,1,1,1,21,-3,375,-2,2923.92,-1,1949.28,2,2611,1,979.2,2,489,1,1142
86023,SOF SOAT-B HQ,"FT CAMPBELL, KY",160SOT,USASOC,8.523839147,46.31147541,12000,0,0,0,0,0,0,0,0,1,1,1,0,-3,125,-2,720,-1,480,2,960,1,960,2,180,1,420
86027,SOF Mackall Company Operations Facilities ,"FT BRAGG, NC",SWCS,USASOC,9.862320627,58.19672131,4350,0,0,0,0,0,0,0,1,1,1,1,24,-3,125,-2,261,-1,174,2,348,1,348,2,65.25,1,152.25
87378,"TSOC HQ, SOCAFRICA","KELLEY BARRACKS, STUTTGART, GERMANY",SOCAFRICA,SOCAF,42.37717471,55.73770492,97000,0,0,0,0,0,0,0,0,0,0,1,0,-3,375,-2,5820,-1,3880,2,,1,,2,,1,
87436,SOF Battalion Operations Facility,"JOINT BASE LEWIS-MCCHORD, WA",1SFG,USASOC,100,69.67213115,93000,0,0,0,0,0,0,0,1,1,1,1,24,-3,375,-2,5580,-1,3720,2,6510,1,930,2,1395,1,3255
87437,SOF Group Headquarters,"FT BRAGG, NC",3SFG,USASOC,100,94.67213115,48000,1,0,0,0,0,1,1,1,1,1,1,21,-3,375,-2,2880,-1,1920,2,3840,1,480,2,720,1,1680
87441,SOF Operations Facility,"FT CAMPBELL, KY",5SFG,USASOC,100,72.95081967,4700,0,0,0,0,0,0,0,1,1,1,1,23,-3,125,-2,282,-1,188,2,,1,376,2,70.5,1,164.5
87442,SOF Group Headquarters,"JOINT BASE LEWIS-MCCHORD, WA",1SFG,USASOC,100,57.37704918,39000,0,0,0,0,0,0,0,0,1,1,1,0,-3,375,-2,2340,-1,1560,2,3120,1,3120,2,585,1,1365
87447,SOF Supply Support Activity,"FT BRAGG, NC",3SFG,USASOC,100,78.68852459,6400,0,0,0,0,0,0,1,1,1,1,1,22,-3,125,-2,384,-1,256,2,512,1,0,2,96,1,224
87741,SOF Company Operations Facility,"FT BRAGG, NC",CDA-J1,JSOC,95.25308231,40.98360656,11800,0,0,0,0,0,0,0,1,1,1,1,0,-3,125,-2,708,-1,472,2,1500,1,,2,62,1,3130
88654,SOF SERE Training Facility,"FT BRAGG, NC",CDA-J1,JSOC,95.25308231,49.18032787,13300,0,0,0,0,0,0,0,1,1,1,1,24,-3,125,-2,798,-1,532,2,795,1,,2,11,1,520
88656,SOF Equipment Development Facility,"FT BRAGG, NC",CDA-J1,JSOC,95.25308231,74.59016393,28000,0,0,0,0,0,0,0,1,1,1,1,0,-3,250,-2,1680,-1,1120,2,795,1,,2,385,1,2500
88658,SOF Operations Faciltiy,"FT BRAGG, NC",CDA-A1,JSOC,94.28138942,92.62295082,40000,0,0,0,0,0,0,1,1,1,1,1,22,-3,375,-2,2400,-1,1600,2,3966,1,258,2,,1,4000
89186,SOF Tactical Equipment Maintenance Facility,"Joint Base Lewis McChord, WA",1SFG,USASOC,100,86.47540984,16500,0,0,0,0,0,1,1,1,1,1,1,21,-3,250,-2,990,-1,660,2,770,1,110,2,165,1,385
89187,SOF Multi-Purpose Range Support Facility,"FT BRAGG, NC",SWCS,USASOC,9.862320627,44.67213115,7500,0,0,0,0,0,0,0,1,1,1,1,23,-3,125,-2,450,-1,300,2,,1,,2,112.5,1,262.5
89192,SOF MI Battalion Operations Facility,"FT BRAGG, NC",SUSB,USASOC,62.48791721,65.98360656,21000,0,0,0,0,0,0,0,1,1,1,1,24,-3,250,-2,1260,-1,840,2,1680,1,1680,2,315,1,1470
89193,SOF Battalion Operations Facility,"HUMPHRIES ENGINEER CENTER & SUPPORT ACT, VA",CDA-O,USASOC,82.74577202,60.6557377,27000,0,0,0,0,0,0,0,1,1,1,1,24,-3,250,-2,1620,-1,1080,2,2160,1,2160,2,405,1,2970
90510,SOF Deployment and Distribution Center Addition,"FT BRAGG, NC",CDA-J1,JSOC,95.25308231,47.13114754,18700,0,0,0,0,0,0,0,1,1,1,1,0,-3,250,-2,1122,-1,748,2,2500,1,,2,65,1,2000
90610,SOF Arms Room Addition,"FT BRAGG, NC",CDA-A1,JSOC,94.28138942,84.83606557,4500,0,0,0,0,0,0,1,1,1,1,1,22,-3,125,-2,270,-1,180,2,1884,1,,2,198,1,
91018,SOF Battalion Operations Facility,"HUMPHRIES ENGINEER CENTER & SUPPORT ACT, VA",CDA-O,USASOC,82.74577202,88.1147541,35000,0,0,0,0,0,1,1,1,1,1,1,21,-3,375,-2,2100,-1,1400,2,2800,1,2800,2,525,1,3850
91019,SOF USASOC Headquarters Complex,"FT BRAGG, NC",USASOC,USASOC,40.22909876,75,131000,0,0,0,0,0,0,1,1,1,1,1,22,-3,375,-2,7860,-1,5240,2,9170,1,1310,2,1965,1,9170
91020,SOF Language Facility ,"Joint Base Lewis McChord, WA",1SFG,USASOC,100,68.44262295,11600,0,0,0,0,0,0,0,1,1,1,1,24,-3,125,-2,696,-1,464,2,928,1,928,2,174,1,406
91021,SOF Deployment Readiness Warehouse,"Eglin AFB, FL",7SFG,USASOC,100,71.72131148,12800,0,0,0,0,0,0,0,1,1,1,1,23,-3,125,-2,768,-1,512,2,,1,,2,192,1,448
91022,SOF Technical Support Detachment (TSD) Annex,"FT BRAGG, NC",3SFG,USASOC,100,70.49180328,11800,0,0,0,0,0,0,0,1,1,1,1,23,-3,125,-2,708,-1,472,2,,1,944,2,177,1,413
91027,SOF Forward Support Company COFs,"FT. BRAGG, NC",3SFG,USASOC,100,50.40983607,26000,0,0,0,0,0,0,0,0,1,1,1,0,-3,250,-2,1560,-1,1040,2,2080,1,2080,2,390,1,910
92107,SOF Mission Command Center,"FT BRAGG, NC",CDA-J1,JSOC,95.25308231,59.83606557,80000,0,0,0,0,0,0,1,1,1,1,1,0,-3,375,-2,4800,-1,3200,2,9000,1,,2,6000,1,30000
92241,SOF Human Performance Training Center,"BAUMHOLDER, GERMANY",HQSOCOM,HQSOCOM,47.49760876,100,15000,0,0,1,0,0,0,0,1,1,1,1,23,-3,250,-2,900,-1,600,2,2470,1,,2,149,1,296
92242,SOF Battalion Annex,"BAUMHOLDER, GERMANY",HQSOCOM,HQSOCOM,47.49760876,100,10888,0,1,0,0,0,0,1,1,1,1,1,21,-3,125,-2,653.28,-1,435.52,2,7618,1,4729,2,2326,1,4729
92243,SOF Operations Annex,"BAUMHOLDER, GERMANY",HQSOCOM,HQSOCOM,47.49760876,100,20543,0,1,0,0,0,0,1,1,1,1,1,21,-3,250,-2,1232.58,-1,821.72,2,16412,1,10199,2,5032,1,10199
92351,SOF Communications Annex,"BAUMHOLDER, GERMANY",HQSOCOM,HQSOCOM,47.49760876,100,4109,0,1,0,0,0,0,1,1,1,1,1,21,-3,125,-2,246.54,-1,164.36,2,1962,1,1244,2,647,1,1244
92352,SOF Support Annex,"BAUMHOLDER, GERMANY",HQSOCOM,HQSOCOM,47.49760876,100,13603,0,1,0,0,0,0,1,1,1,1,1,21,-3,125,-2,816.18,-1,544.12,2,9474,1,5880,2,2891,1,5880
92602,"TSOC HQ, SOCEUR","Patch Barracks, Stuttgart, Germany",SOCEUR,SOCEUR,42.37717471,94.26229508,92000,0,0,0,0,0,0,0,0,0,0,1,0,-3,375,-2,5520,-1,3680,2,,1,,2,,1,
92746,SOF Operations Facility ,CONUS CLASSIFIED,CDA-J1,JSOC,95.25308231,90.57377049,100000,0,1,0,0,0,0,1,1,1,1,1,22,-3,375,-2,6000,-1,4000,2,4800,1,,2,1000,1,17942
92790,SOF Command and Control Facility,"FT BRAGG, NC",SFCMD,USASOC,0,53.68852459,103000,0,0,0,1,0,0,0,0,1,1,1,24,-3,375,-2,6180,-1,4120,2,7210,1,1030,2,1545,1,7210
92791,SOF Joint Intelligence Center,"FT BRAGG, NC",SFCMD,USASOC,0,77.86885246,56100,0,1,0,0,0,0,1,1,1,1,1,22,-3,375,-2,3366,-1,2244,2,4560,1,570,2,855,1,3990
92792,SOF MI Battalion Headquarters,"FT BENNING, GA",75RGR,USASOC,85.52560896,85.24590164,20000,0,1,0,0,0,0,1,1,1,1,1,22,-3,250,-2,1200,-1,800,2,1600,1,1600,2,300,1,1400
92793,SOF Operations Building  ,"FT BRAGG, NC",CDA-F3,JSOC,88.17663426,82.37704918,12800,0,1,0,0,0,0,1,1,1,1,1,22,-3,125,-2,768,-1,512,2,300,1,,2,100,1,498
93282,SOF Hangar,"NELLIS AFB, NV",160SOR,USASOC,52.09901668,67.62295082,26000,0,0,0,0,0,0,0,1,1,1,1,24,-3,250,-2,1560,-1,1040,2,1300,1,780,2,390,1,910
93283,SOF Readiness Facility,"FT CAMPBELL, KY",160SOR,USASOC,52.09901668,64.75409836,17000,0,0,0,0,0,0,0,1,1,1,1,24,-3,250,-2,1020,-1,680,2,1360,1,1680,2,255,1,595
93284,SOF Hangar ,"FT CAMPBELL, KY",160SOT,USASOC,8.523839147,52.86885246,62000,0,0,0,0,0,0,0,0,1,1,1,0,-3,375,-2,3720,-1,2480,2,3100,1,1860,2,930,1,2170
93286,SOF Hangar and Aviation COF ,"HUNTER AAF, GA",160SOR,USASOC,52.09901668,50.81967213,43000,0,0,0,0,0,0,0,0,1,1,1,0,-3,375,-2,2580,-1,1720,2,2150,1,1290,2,645,1,1505
93287,SOF Readiness Facility,"HUNTER AAF, GA",160SOR,USASOC,52.09901668,47.54098361,11800,0,0,0,0,0,0,0,0,1,1,1,0,-3,125,-2,708,-1,472,2,944,1,944,2,177,1,413
93290,SOF Hangar and Aviation COF,"HUNTER AAF, GA",160SOR,USASOC,52.09901668,48.36065574,63000,0,0,0,0,0,0,0,0,1,1,1,0,-3,375,-2,3780,-1,2520,2,3150,1,1890,2,945,1,2205
93291,SOF Regiment HQ Support Annex,"FT BENNING, GA",75RGR,USASOC,85.52560896,45.90163934,42000,0,0,0,0,0,0,0,0,1,1,1,0,-3,375,-2,2520,-1,1680,2,2940,1,420,2,630,1,1470
93317,SOF Operations Facility,"Riga, Latvia",SOCEUR,SOCEUR,42.37717471,14.3442623,11350,0,0,0,1,0,0,1,1,1,1,1,0,-3,125,-2,681,-1,454,2,,1,,2,,1,
93318,SOF Training Facility,"Riga, Latvia",SOCEUR,SOCEUR,42.37717471,54.50819672,14700,0,1,0,0,0,0,1,1,1,1,1,0,-3,125,-2,882,-1,588,2,,1,,2,,1,
93319,SOF Operations Facility,"Kaunas, Lithuania",SOCEUR,SOCEUR,42.37717471,0.409836066,12600,0,0,0,0,1,0,1,1,1,1,1,0,-3,125,-2,756,-1,504,2,,1,,2,,1,
93320,SOF Training Facility,"Kaunas, Lithuania",SOCEUR,SOCEUR,42.37717471,28.68852459,4600,0,0,1,0,0,0,1,1,1,1,1,0,-3,125,-2,276,-1,184,2,,1,,2,,1,
94023,SOF Operational Ammunition Supply Point,"FT BRAGG, NC",CDA-A1,JSOC,94.28138942,66.80327869,66000,0,0,0,0,0,0,0,1,1,1,1,0,-3,375,-2,3960,-1,2640,2,4000,1,3100,2,2000,1,4000
94051,SOF HPTC Facility,"FT BRAGG, NC",CDA-F3,JSOC,88.17663426,45.08196721,10000,0,0,0,0,0,0,0,1,1,1,1,0,-3,125,-2,600,-1,400,2,1300,1,,2,48,1,6600
1055863,SOF AMU/Hangar (AC-130J),"HURLBURT FIELD, FL",1SOW,AFSOC,60.25237122,79.09836066,44300,0,0,0,0,0,0,0,1,1,1,1,0,-3,375,-2,2658,-1,1772,2,1870,1,,2,368,1,
1055876,SOF Hangar/AMU (MC-130J),"HURLBURT FIELD, FL",1SOW,AFSOC,60.25237122,65.16393443,60600,0,0,0,0,0,0,0,1,1,1,1,0,-3,375,-2,3636,-1,2424,2,1870,1,,2,368,1,
1073614,SOF Simulator Facility (AC-130J),"HURLBURT FIELD, FL",SOAWC,AFSOC,9.210101675,67.21311475,13000,0,0,0,0,0,0,0,1,1,1,1,0,-3,125,-2,780,-1,520,2,400,1,400,2,150,1,
AFSOC180001,SOF Operations and Maintenance Facilities,"DUKE FIELD, FL EGLIN AFB, FL AUX FIELD (DUKE)",SOAWC,AFSOC,9.210101675,87.29508197,23600,0,1,0,0,0,0,1,1,1,1,1,22,-3,250,-2,1416,-1,944,2,2800,1,300,2,1272,1,942
CZQZ183001,SOF Hangar/AMU (CV-22),"CANNON AFB, NM",27SOW,AFSOC,61.68258988,77.45901639,55000,0,0,0,0,0,0,0,1,1,1,1,0,-3,375,-2,3300,-1,2200,2,2000,1,,2,368,1,
FTEV073023,SOF Vehicle Shelter,"HURLBURT FIELD, FL",1SOW,AFSOC,60.25237122,69.26229508,10400,0,0,0,0,0,0,0,0,1,1,1,24,-3,125,-2,624,-1,416,2,,1,,2,,1,
FTEV103005,SOF Special Tactics Operations Facility (23 STS),"HURLBURT FIELD, FL",24SOW,AFSOC,81.63461715,93.85245902,44810,0,0,0,0,0,1,1,1,1,1,1,21,-3,375,-2,2688.6,-1,1792.4,2,2600,1,400,2,900,1,
FTEV123003,SOF Small Arms Range,"HURLBURT FIELD, FL",1SOW,AFSOC,60.25237122,81.55737705,30400,0,0,0,0,0,0,1,1,1,1,1,22,-3,375,-2,1824,-1,1216,2,1500,1,,2,50,1,
FTEV123008,SOF Human Performance Training Center,"HURLBURT FIELD, FL",24SOW,AFSOC,81.63461715,91.39344262,8915,0,0,0,0,0,1,1,1,1,1,1,22,-3,125,-2,534.9,-1,356.6,2,757,1,,2,42,1,
FTEV153011,SOF Combat Aircraft Parking Apron-North,"HURLBURT FIELD, FL",1SOW,AFSOC,60.25237122,97.54098361,38310,0,0,0,0,0,1,1,1,1,1,1,21,-3,375,-2,2298.6,-1,1532.4,2,0,1,,2,72,1,
FTEV153012,SOF Parking Apron (AC-130J),"HURLBURT FIELD, FL",1SOW,AFSOC,60.25237122,85.6557377,41304,0,0,0,0,0,0,1,1,1,1,1,0,-3,375,-2,2478.24,-1,1652.16,2,0,1,,2,,1,
FTEV163002,SOF Integrated Operations Facility,"HURLBURT FIELD, FL",SOAWC,AFSOC,9.210101675,73.36065574,20500,0,0,0,0,0,0,0,1,1,1,1,23,-3,250,-2,1230,-1,820,2,2000,1,,2,368,1,
FTEV173002,SOF Simulator Facility (Manned ISR),"HURLBURT FIELD, FL",SOAWC,AFSOC,9.210101675,63.1147541,8500,0,0,0,0,0,0,0,0,0,1,1,25,-3,125,-2,510,-1,340,2,400,1,400,2,150,1,
FTFA173001,SOF Fuel Cell Hangar ,"EGLIN AFB, FL AUX FIELD (DUKE)",SOAWC,AFSOC,9.210101675,83.60655738,16200,0,0,0,0,0,0,1,1,1,1,1,23,-3,250,-2,972,-1,648,2,500,1,,2,168,1,
KYJM87817,SOF CONTROLLED HUMIDITY WAREHOUSE,"HOMESTEAD, FL",SOCSOUTH,SOCSOUTH,42.37717471,95.90163934,9604,0,0,0,0,0,0,0,1,1,1,1,23,-3,125,-2,576.24,-1,384.16,2,250,1,,2,40,1,400
KYJM87846,SOF RIGGING AND DRYING FACILITY ,"HOMESTEAD, FL",SOCSOUTH,SOCSOUTH,42.37717471,55.73770492,3960,0,0,0,0,0,0,0,1,1,1,1,23,-3,125,-2,237.6,-1,158.4,2,30,1,,2,50,1,0
LXEZ163901,SOF Human Performance Training Center,"KADENA AB, JP",353SOG,AFSOC,50.66879801,89.3442623,12960,0,1,0,0,0,0,1,1,1,1,1,22,-3,125,-2,777.6,-1,518.4,2,1227,1,,2,90,1,
NVZR173711,SOCCENT Operations Facility,"MacDill AFB, FL",SOCCENT,SOCCENT,42.37717471,97.95081967,21181,0,0,0,0,0,0,0,0,1,1,1,24,-3,250,-2,1270.86,-1,847.24,2,847,1,750,2,4700,1,318
P1052,SOF Multi-Purpose Ops Facility,"DAM NECK, VA",CDA-N,JSOC,87.76227046,70.08196721,40200,0,0,0,0,0,0,0,1,1,1,1,0,-3,375,-2,2412,-1,1608,2,2596,1,581,2,1839,1,368
P1068,SOF Operations Facility Renovation,"DAM NECK, VA",CDA-N,JSOC,87.76227046,56.14754098,7500,1,0,0,0,0,1,1,1,1,1,1,21,-3,125,-2,450,-1,300,2,1480,1,332,2,978,1,418
P1075,SOF Operations Building Addition,"DAM NECK, VA",CDA-N,JSOC,87.76227046,64.3442623,14400,1,0,0,0,0,1,1,1,1,1,1,21,-3,125,-2,864,-1,576,2,1529,1,343,2,522,1,771
P1284,SOF Training Tank Expansion,"CAMP LEJEUNE, NC",MSOR,MARSOC,92.13504795,47.95081967,12100,0,0,0,0,0,0,1,1,1,1,1,22,-3,125,-2,726,-1,484,2,619,1,399,2,129,1,0
P1411 ,SOF Paraloft Expansion ,"CAMP LEJEUNE, NC",MSOR,MARSOC,92.13504795,56.96721311,6228,1,0,0,0,0,1,1,1,1,1,1,21,-3,125,-2,373.68,-1,249.12,2,394,1,0 (75K),2,245,1,322
P1537,SOF Marine Raider Support Battalion and Unmanned Aerial System Facilities ,"CAMP LEJEUNE, NC",MSOSG,MARSOC,70.5037434,97.13114754,16000,0,0,0,0,0,0,1,1,1,1,1,0,-3,250,-2,960,-1,640,2,1350,1,300,2,650,1,250
P1538,SOF Support Facility Expansions  ,"CAMP LEJEUNE, NC",MSOR,MARSOC,92.13504795,86.06557377,12000,0,0,0,0,0,0,1,1,1,1,1,0,-3,125,-2,720,-1,480,2,2300,1,270,2,350,1,167
P1539,SOF Combat Service Support/Motor Transport Maintenance Expansion   ,"CAMP LEJEUNE, NC",MSOSG,MARSOC,70.5037434,76.2295082,15000,0,0,0,0,0,0,1,1,1,1,1,0,-3,250,-2,900,-1,600,2,820,1,0,2,200,1,0
P1540,SOF EOD Facility    ,"CAMP LEJEUNE, NC",MSOR,MARSOC,92.13504795,66.39344262,13000,0,0,0,0,0,0,1,1,1,1,1,0,-3,125,-2,780,-1,520,2,1500,1,300,2,650,1,250
P155 ,SOF Training Facility Addition,"Dam Neck, VA",CDA-N,JSOC,87.76227046,77.04918033,12300,0,0,0,0,0,0,0,1,1,1,1,23,-3,125,-2,738,-1,492,2,1000,1,250,2,600,1,250
P163,SOF Tactical Ground Mobility Ops and Storage Facility,"DAM NECK, VA",CDA-N,JSOC,87.76227046,39.3442623,25600,0,0,0,0,0,0,0,1,1,1,1,0,-3,250,-2,1536,-1,1024,2,3800,1,850,2,2800,1,560
P167,SOF Logistics Support Facility,"DAM NECK, VA",CDA-N,JSOC,87.76227046,43.44262295,53000,0,0,0,0,0,0,0,1,1,1,1,0,-3,375,-2,3180,-1,2120,2,4300,1,977,2,3090,1,618
P177,SOF SOUC Training Facility,"Fort Pickett, VA",NSWCEN,NSW,9.862320627,86.8852459,50000,0,0,0,0,0,1,1,1,1,1,1,21,-3,375,-2,3000,-1,2000,2,1400,1,750,2,147,1,63
P226,SOF SRT-2 Operations Facility,"Little Creek, VA",NSWG10,NSW,80.09536188,54.09836066,52400,0,0,0,0,0,0,0,1,1,1,1,0,-3,375,-2,3144,-1,2096,2,3200,1,800,2,1600,1,800
P304,SOF Breacher Training Facility,"Fort Pickett, VA",NSWCEN,NSW,9.862320627,51.2295082,24800,0,0,0,0,0,0,0,1,1,1,1,0,-3,250,-2,1488,-1,992,2,1600,1,400,2,500,1,250
P325,SOF Human Performance Training Center,"Little Creek, VA",NSWG2,NSW,92.13504795,84.42622951,23200,1,0,0,0,0,1,1,1,1,1,1,21,-3,250,-2,1392,-1,928,2,1500,1,400,2,300,1,150
P341,SOCFWD-EA OPERATIONS FACILITY,"CAMP LEMONNIER, DJIBOUTI",SOCAFRICA,SOCAF,42.37717471,95.90163934,35700,0,0,0,0,0,0,0,0,0,0,1,0,-3,375,-2,2142,-1,1428,2,800,1,,2,176,1,316
P477,SOF Indoor Dynamic Shooting Facility,"Pearl City, HI",NSWG3,NSW,77.25708879,70.90163934,24845,0,0,0,0,0,0,1,1,1,1,1,22,-3,250,-2,1490.7,-1,993.8,2,1700,1,400,2,1200,1,600
P478,SOF Close Quarters Combat Facility,"Pearl City, HI",NSWG3,NSW,77.25708879,58.60655738,11600,0,0,0,0,0,0,1,1,1,1,1,0,-3,125,-2,696,-1,464,2,500,1,1800,2,400,1,250
P502,SOF Cold Water Training Austere Environment Facility,"Keyport, WA",NSWG3,NSW,77.25708879,74.18032787,20500,0,0,0,0,0,1,1,1,1,1,1,0,-3,250,-2,1230,-1,820,2,1500,1,345,2,500,1,794
P556,SOF Small Craft Operations Facility,"Kodiak, AK",NSWCEN,NSW,9.862320627,50,32300,0,0,0,0,0,0,0,1,1,1,1,0,-3,375,-2,1938,-1,1292,2,1000,1,350,2,250,1,250
P568,SOF NSWG-4 Finger Piers,"Little Creek, VA",NSWG4,NSW,69.36164257,68.03278689,4500,0,0,0,0,0,0,0,1,1,1,1,24,-3,125,-2,270,-1,180,2,0,1,500,2,0,1,0
P600,SOF Combatant Craft Launch and Recovery Facility,"San Clemente Island, CA",NSWG4,NSW,69.36164257,75.81967213,14800,0,0,0,0,0,0,0,1,1,1,1,0,-3,125,-2,888,-1,592,2,0,1,0,2,0,1,0
P619,SOF Multi-Purpose Range,"DAM NECK, VA",CDA-N,JSOC,87.76227046,72.13114754,32000,0,0,0,0,0,0,0,1,1,1,1,23,-3,375,-2,1920,-1,1280,2,470,1,4130,2,500,1,300
P625,SOF NSWU-3 Operations Support Facility,Bahrain,NSWG1,NSW,92.13504795,63.52459016,16800,0,0,0,0,0,0,1,1,1,1,1,0,-3,250,-2,1008,-1,672,2,750,1,250,2,700,1,350
P654,SOF SBT20 Combatant Craft Operations Facility,"Little Creek, VA",NSWG4,NSW,69.36164257,72.54098361,20685,0,0,0,0,0,0,1,1,1,1,1,24,-3,250,-2,1241.1,-1,827.4,2,1200,1,300,2,700,1,400
P655,SOF Land Warfare Training Ranges,"Niland, CA",NSWCEN,NSW,9.862320627,60.24590164,24010,0,0,0,0,0,0,1,1,1,1,1,0,-3,250,-2,1440.6,-1,960.4,2,410,1,4100,2,0,1,0
P672,SOF Training Aid and Mock-Up Storage Facility,"Dam Neck, VA",CDA-N,JSOC,87.76227046,80.32786885,12000,0,0,0,0,0,0,1,1,1,1,1,22,-3,125,-2,720,-1,480,2,198,1,748,2,500,1,249
